level,stack,stack_bb,opener_seat,defender_seat,opener_open_fraction,opener_call_fraction,defender_flat_realization,hand,best_action,fold_value,flat_value,jam_value,flat_ev,jam_ev,flat_equity,jam_equity,bb_win_bb_delta,bb_win_opener_delta,bb_win_others_delta,bb_lose_bb_delta,bb_lose_opener_delta,bb_lose_others_delta
9,19000,5.000,0,5,0.500,0.000,0.400,22,jam,-18.000000,-25.145833,40.000000,-7.145833,58.000000,0.464193,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,77,jam,-18.000000,-25.229167,40.000000,-7.229167,58.000000,0.461589,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,44,jam,-18.000000,-25.958333,40.000000,-7.958333,58.000000,0.438802,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,76s,jam,-18.000000,-27.875000,40.000000,-9.875000,58.000000,0.378906,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,72s,jam,-18.000000,-28.250000,40.000000,-10.250000,58.000000,0.367188,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,75s,jam,-18.000000,-28.437500,40.000000,-10.437500,58.000000,0.361328,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,42s,jam,-18.000000,-28.468750,40.000000,-10.468750,58.000000,0.360352,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,54o,jam,-18.000000,-28.489583,40.000000,-10.489583,58.000000,0.359701,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,76o,jam,-18.000000,-28.510417,40.000000,-10.510417,58.000000,0.359049,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,43s,jam,-18.000000,-28.625000,40.000000,-10.625000,58.000000,0.355469,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,52s,jam,-18.000000,-28.718750,40.000000,-10.718750,58.000000,0.352539,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,T3s,jam,-18.000000,-28.791667,40.000000,-10.791667,58.000000,0.350260,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,86s,jam,-18.000000,-28.812500,40.000000,-10.812500,58.000000,0.349609,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,73s,jam,-18.000000,-28.812500,40.000000,-10.812500,58.000000,0.349609,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,87o,jam,-18.000000,-28.875000,40.000000,-10.875000,58.000000,0.347656,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,85s,jam,-18.000000,-28.875000,40.000000,-10.875000,58.000000,0.347656,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,74s,jam,-18.000000,-28.937500,40.000000,-10.937500,58.000000,0.345703,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,63s,jam,-18.000000,-28.937500,40.000000,-10.937500,58.000000,0.345703,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,T8s,jam,-18.000000,-28.958333,40.000000,-10.958333,58.000000,0.345052,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,65s,jam,-18.000000,-29.000000,40.000000,-11.000000,58.000000,0.343750,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,53s,jam,-18.000000,-29.093750,40.000000,-11.093750,58.000000,0.340820,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,87s,jam,-18.000000,-29.218750,40.000000,-11.218750,58.000000,0.336914,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,53o,jam,-18.000000,-29.229167,40.000000,-11.229167,58.000000,0.336589,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,65o,jam,-18.000000,-29.250000,40.000000,-11.250000,58.000000,0.335938,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,52o,jam,-18.000000,-29.395833,40.000000,-11.395833,58.000000,0.331380,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,32o,jam,-18.000000,-29.427083,40.000000,-11.427083,58.000000,0.330404,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,64o,jam,-18.000000,-29.510417,40.000000,-11.510417,58.000000,0.327799,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,84s,jam,-18.000000,-29.531250,40.000000,-11.531250,58.000000,0.327148,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,62s,jam,-18.000000,-29.562500,40.000000,-11.562500,58.000000,0.326172,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,63o,jam,-18.000000,-29.583333,40.000000,-11.583333,58.000000,0.325521,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,42o,jam,-18.000000,-29.625000,40.000000,-11.625000,58.000000,0.324219,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,43o,jam,-18.000000,-29.645833,40.000000,-11.645833,58.000000,0.323568,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
